iter	RMSE
0	31.42782696
1	28.77029722
2	26.57830531
3	25.00489217
4	23.88526893
5	22.95251642
6	22.11417983
7	21.64832757
8	21.21991316
9	20.84062397
10	20.32423647
11	19.9014122
12	19.67187886
13	19.27780114
14	19.05815623
15	18.87751957
16	18.62303644
17	18.47438507
18	18.30455576
19	18.1965798
20	18.01219064
21	17.94217586
22	17.7649459
23	17.5764214
24	17.37771755
25	17.32638064
26	17.25068171
27	17.15815923
28	17.07766895
29	16.96599866
30	16.8993925
31	16.82560014
32	16.70309866
33	16.58685887
34	16.54664068
35	16.49171328
36	16.44800803
37	16.3722632
38	16.32805787
39	16.28245453
40	16.24211884
41	16.16729631
42	16.0836468
43	16.02790491
44	15.95818001
45	15.86336582
46	15.78835809
47	15.72926191
48	15.67760612
49	15.6449445
50	15.51638024
51	15.48152198
52	15.40608711
53	15.33625589
54	15.3332467
55	15.25346583
56	15.20247504
57	15.14631676
58	15.07774312
59	15.01777824
60	14.94658159
61	14.92019227
62	14.8533584
63	14.81089153
64	14.75679673
65	14.716016
66	14.66904939
67	14.63148996
68	14.60849065
69	14.55687031
70	14.52291641
71	14.49277513
72	14.44235255
73	14.3908804
74	14.3675017
75	14.33606615
76	14.3098738
77	14.26363531
78	14.22611218
79	14.17007726
80	14.13346672
81	14.10025897
82	14.07329346
83	14.0567937
84	14.01213509
85	13.98504463
86	13.9399284
87	13.91847356
88	13.86482436
89	13.81192268
90	13.7602325
91	13.74492953
92	13.72235049
93	13.68036226
94	13.64546617
95	13.63174645
96	13.59984903
97	13.57638974
98	13.55283787
99	13.51089155
100	13.48090243
101	13.45927156
102	13.41877889
103	13.38678144
104	13.37288149
105	13.34785689
106	13.33181617
107	13.31095439
108	13.2860926
109	13.24503931
110	13.22531591
111	13.21448613
112	13.18989592
113	13.17785934
114	13.15695798
115	13.14043807
116	13.11334098
117	13.07939065
118	13.06587777
119	13.03900503
120	13.01565783
121	12.98338472
122	12.95833623
123	12.94976486
124	12.93001774
125	12.91113879
126	12.88971097
127	12.87404283
128	12.8630333
129	12.85864539
130	12.82749158
131	12.7978029
132	12.76802693
133	12.72647467
134	12.71459882
135	12.70132562
136	12.68109575
137	12.66068379
138	12.64765513
139	12.63026252
140	12.58306467
141	12.56423453
142	12.54342927
143	12.51930474
144	12.49709429
145	12.48390782
146	12.46758365
147	12.45532243
148	12.44563657
149	12.43175471
150	12.41482365
151	12.38681503
152	12.36458836
153	12.35031098
154	12.33162818
155	12.32444997
156	12.31228632
157	12.2925895
158	12.27588376
159	12.26102251
160	12.24178234
161	12.22723065
162	12.20994273
163	12.19266443
164	12.17567686
165	12.16745503
166	12.15323546
167	12.11978307
168	12.10252498
169	12.08598107
170	12.06812097
171	12.06026061
172	12.03266346
173	12.0258228
174	12.00448869
175	11.99251661
176	11.97662946
177	11.96623135
178	11.93428956
179	11.90804761
180	11.88499785
181	11.8755254
182	11.8585288
183	11.85072417
184	11.84470965
185	11.83947265
186	11.82115975
187	11.80726672
188	11.79825858
189	11.78439125
190	11.76208529
191	11.74950818
192	11.74799082
193	11.74549216
194	11.743002
195	11.71897896
196	11.69419608
197	11.68322684
198	11.67579769
199	11.66503757
200	11.66164927
201	11.65962153
202	11.64286663
203	11.63489491
204	11.61334181
205	11.60104901
206	11.59968216
207	11.58546684
208	11.56179746
209	11.55677182
210	11.53957433
211	11.5245424
212	11.51680418
213	11.50045366
214	11.49219028
215	11.48174751
216	11.47133782
217	11.45740091
218	11.45217083
219	11.44877124
220	11.43864209
221	11.42692683
222	11.42017301
223	11.40758678
224	11.39334515
225	11.3794503
226	11.36919615
227	11.36588879
228	11.3476292
229	11.33036966
230	11.32435625
231	11.31730467
232	11.3022925
233	11.30052601
234	11.28942409
235	11.28387069
236	11.26708066
237	11.25702009
238	11.24250579
239	11.22526236
240	11.2077974
241	11.20035536
242	11.19177002
243	11.18839178
244	11.17715698
245	11.17341166
246	11.16985864
247	11.16100088
248	11.15237148
249	11.11700042
250	11.10815445
251	11.09746709
252	11.08643243
253	11.07519477
254	11.06597201
255	11.0342266
256	11.02774809
257	11.0108785
258	11.00383835
259	10.99454524
260	10.99011606
261	10.97915812
262	10.97264591
263	10.9648065
264	10.95781824
265	10.94334852
266	10.92475618
267	10.91484576
268	10.90777838
269	10.89212649
270	10.88051275
271	10.86640708
272	10.8536038
273	10.85037107
274	10.83884706
275	10.82955828
276	10.8203238
277	10.81450015
278	10.80233972
279	10.79898068
280	10.79508951
281	10.78233137
282	10.77286336
283	10.76671303
284	10.75906927
285	10.75077816
286	10.74468319
287	10.7401057
288	10.73584862
289	10.72054944
290	10.70466148
291	10.69756361
292	10.69298428
293	10.68653126
294	10.66991242
295	10.66381999
296	10.65730156
297	10.64620334
298	10.63043201
299	10.61622373
300	10.60396558
301	10.59345436
302	10.58668145
303	10.57153575
304	10.55557867
305	10.54644227
306	10.53448592
307	10.52040578
308	10.50596711
309	10.49700809
310	10.48835675
311	10.47687937
312	10.4699337
313	10.46300276
314	10.45608795
315	10.44528053
316	10.43445967
317	10.42313407
318	10.41688892
319	10.40335499
320	10.39367701
321	10.38689947
322	10.38229044
323	10.37043243
324	10.35705371
325	10.34101583
326	10.3342903
327	10.33070524
328	10.32758885
329	10.32043914
330	10.30665319
331	10.29484586
332	10.27854906
333	10.26963389
334	10.26120847
335	10.2584019
336	10.25240941
337	10.24709756
338	10.24057496
339	10.23716688
340	10.23130927
341	10.22892465
342	10.2236896
343	10.21910517
344	10.21588093
345	10.21108449
346	10.19482244
347	10.18468264
348	10.17339888
349	10.16078682
350	10.15219539
351	10.14584375
352	10.13925029
353	10.12899824
354	10.11714016
355	10.11249285
356	10.10445045
357	10.09944595
358	10.08516753
359	10.07586766
360	10.05974213
361	10.04821137
362	10.04203425
363	10.02852889
364	10.02679198
365	10.01955439
366	9.999949812
367	9.995752659
368	9.98769218
369	9.982342349
370	9.971193253
371	9.959595535
372	9.953641492
373	9.948279529
374	9.935428816
375	9.929610279
376	9.920049658
377	9.911908117
378	9.903096889
379	9.897915944
380	9.891952183
381	9.880115748
382	9.869246647
383	9.862464107
384	9.853795638
385	9.84210489
386	9.833700705
387	9.822768037
388	9.818888818
389	9.81487443
390	9.812456548
391	9.808807955
392	9.807747342
393	9.805793717
394	9.803112427
395	9.790057991
396	9.779082254
397	9.766211827
398	9.76349594
399	9.757608421
400	9.746453047
401	9.739555791
402	9.733223541
403	9.721812128
404	9.716899416
405	9.712031507
406	9.711632451
407	9.701457264
408	9.692883826
409	9.678203612
410	9.667808162
411	9.663134134
412	9.659598649
413	9.646617465
414	9.636373212
415	9.628461022
416	9.619513406
417	9.618199176
418	9.610676452
419	9.592931481
420	9.586694867
421	9.581125909
422	9.575264309
423	9.568831776
424	9.566400244
425	9.556553278
426	9.548505674
427	9.547766489
428	9.535136126
429	9.526904902
430	9.522155386
431	9.520657284
432	9.506914849
433	9.498081995
434	9.496469599
435	9.493009002
436	9.485824921
437	9.482922178
438	9.475390799
439	9.468608669
440	9.463955978
441	9.456759805
442	9.451752292
443	9.444725639
444	9.434449512
445	9.422244801
446	9.421141129
447	9.416289169
448	9.410869856
449	9.397852732
450	9.387835813
451	9.380551324
452	9.373948424
453	9.371006499
454	9.367331461
455	9.358631434
456	9.356493724
457	9.354461356
458	9.34433438
459	9.3426386
460	9.340048482
461	9.336755553
462	9.332472543
463	9.326062006
464	9.31447321
465	9.310474322
466	9.304884344
467	9.298708725
468	9.29640919
469	9.290399571
470	9.282678231
471	9.278293356
472	9.265660916
473	9.262287545
474	9.252659179
475	9.248890525
476	9.243426923
477	9.235770119
478	9.229609422
479	9.225937362
480	9.222707181
481	9.221872215
482	9.217342682
483	9.208054534
484	9.199185984
485	9.189879985
486	9.18851977
487	9.185592375
488	9.176211776
489	9.175674377
490	9.172933237
491	9.16587921
492	9.156748661
493	9.143163356
494	9.132494991
495	9.130433966
496	9.130417681
497	9.118751764
498	9.113027765
499	9.110038467
500	9.106606661
501	9.10106239
502	9.096540898
503	9.091006308
504	9.083505561
505	9.075016144
506	9.072782939
507	9.068440718
508	9.065230247
509	9.058119407
510	9.05345453
511	9.048989157
512	9.042270894
513	9.03592413
514	9.026246976
515	9.020192858
516	9.01292882
517	9.001738724
518	8.998993613
519	8.990715002
520	8.985167568
521	8.978942745
522	8.977388454
523	8.972008166
524	8.966049659
525	8.956599161
526	8.946455631
527	8.943066918
528	8.93520695
529	8.929451067
530	8.916219437
531	8.911553802
532	8.901498028
533	8.895761791
534	8.893317672
535	8.889619845
536	8.884910665
537	8.882068057
538	8.871561289
539	8.866163733
540	8.859164765
541	8.851790448
542	8.846017484
543	8.843369006
544	8.84067002
545	8.834737814
